"date","route","rides"
2010-08-02,3,6117
2010-08-03,3,6278
2010-08-04,3,5874
2010-08-05,3,5865
2010-08-06,3,5643
2010-08-07,3,2245
2010-08-08,3,1697
2010-08-09,3,5570
2010-08-10,3,5307
2010-08-11,3,6022
2010-08-12,3,5742
2010-08-13,3,5192
2010-08-14,3,2453
2010-08-15,3,2023
2010-08-16,3,5354
2010-08-17,3,5932
2010-08-18,3,5573
2010-08-19,3,5916
2010-08-20,3,5483
2010-08-21,3,2521
2010-08-22,3,1912
2010-08-23,3,5587
2010-08-24,3,5732
2010-08-25,3,5975
2010-08-26,3,6950
2010-08-27,3,6586
2010-08-28,3,4090
2010-08-29,3,2444
2010-08-30,3,6513
2010-08-31,3,6381
2010-09-01,3,7639
2010-09-02,3,7811
2010-09-03,3,7456
2010-09-04,3,3853
2010-09-05,3,3433
2010-09-06,3,3009
2010-09-07,3,9850
2010-09-08,3,10649
2010-09-09,3,10265
2010-09-10,3,8486
2010-09-11,3,3318
2010-09-12,3,1995
2010-09-13,3,10138
2010-09-14,3,10467
2010-09-15,3,10520
2010-09-16,3,10835
2010-09-17,3,9479
2010-09-18,3,3216
2010-09-19,3,2190
2010-09-20,3,10378
2010-09-21,3,10794
2010-09-22,3,10531
2010-09-23,3,10490
2010-09-24,3,9339
2010-09-25,3,3114
2010-09-26,3,2259
2010-09-27,3,10470
2010-09-28,3,10415
2010-09-29,3,10554
2010-09-30,3,10539
2010-10-01,3,9708
2010-10-02,3,3189
2010-10-03,3,2328
2010-10-04,3,10519
2010-10-05,3,10700
2010-10-06,3,10647
2010-10-07,3,10943
2010-10-08,3,9062
2010-10-09,3,3586
2010-10-10,3,2256
2010-10-11,3,10256
2010-10-12,3,10398
2010-10-13,3,10515
2010-10-14,3,10386
2010-10-15,3,9343
2010-10-16,3,3196
2010-10-17,3,2045
2010-10-18,3,10256
2010-10-19,3,10517
2010-10-20,3,10354
2010-10-21,3,9948
2010-10-22,3,9013
2010-10-23,3,3232
2010-10-24,3,2235
2010-10-25,3,10452
2010-10-26,3,11113
2010-10-27,3,11084
2010-10-28,3,10937
2010-10-29,3,9710
2010-10-30,3,3358
2010-10-31,3,2138
2010-11-01,3,10482
2010-11-02,3,10970
2010-11-03,3,11183
2010-11-04,3,11090
2010-11-05,3,9270
2010-11-06,3,2914
2010-11-07,3,2196
2010-11-08,3,10735
2010-11-09,3,11252
2010-11-10,3,10840
2010-11-11,3,10510
2010-11-12,3,9566
2010-11-13,3,2736
2010-11-14,3,2087
2010-11-15,3,11267
2010-11-16,3,11465
2010-11-17,3,11345
2010-11-18,3,10965
2010-11-19,3,9908
2010-11-20,3,2910
2010-11-21,3,1893
2010-11-22,3,11388
2010-11-23,3,11160
2010-11-24,3,7977
2010-11-25,3,1024
2010-11-26,3,2394
2010-11-27,3,2215
2010-11-28,3,1821
2010-11-29,3,11210
2010-11-30,3,12042
2010-12-01,3,11992
2010-12-02,3,11795
2010-12-03,3,9845
2010-12-04,3,3391
2010-12-05,3,2305
2010-12-06,3,11833
2010-12-07,3,11862
2010-12-08,3,11774
2010-12-09,3,11715
2010-12-10,3,10502
2010-12-11,3,896
2010-12-12,3,1654
2010-12-13,3,9505
2010-12-14,3,10763
2010-12-15,3,11387
2010-12-16,3,9166
2010-12-17,3,8762
2010-12-18,3,3919
2010-12-19,3,2075
2010-12-20,3,8021
2010-12-21,3,8027
2010-12-22,3,6538
2010-12-23,3,4877
2010-12-24,3,1600
2010-12-25,3,777
2010-12-26,3,1405
2010-12-27,3,3773
2010-12-28,3,3998
2010-12-29,3,4194
2010-12-30,3,3783
2010-12-31,3,3211
2011-01-01,3,1171
2011-01-02,3,1411
2011-01-03,3,5953
2011-01-04,3,6104
2011-01-05,3,6321
2011-01-06,3,6093
2011-01-07,3,6125
2011-01-08,3,2159
2011-01-09,3,1575
2011-01-10,3,6613
2011-01-11,3,6920
2011-01-12,3,6723
2011-01-13,3,6696
2011-01-14,3,6842
2011-01-15,3,2546
2011-01-16,3,1882
2011-01-17,3,4147
2011-01-18,3,11701
2011-01-19,3,11801
2011-01-20,3,11623
2011-01-21,3,9198
2011-01-22,3,2783
2011-01-23,3,2008
2011-01-24,3,11976
2011-01-25,3,11970
2011-01-26,3,12256
2011-01-27,3,12054
2011-01-28,3,10626
2011-01-29,3,3177
2011-01-30,3,2268
2011-01-31,3,11406
2011-02-01,3,12184
2011-02-02,3,11779
2011-02-03,3,12261
2011-02-04,3,10664
2011-02-05,3,3356
2011-02-06,3,2206
2011-02-07,3,11584
2011-02-08,3,11790
2011-02-09,3,11505
2011-02-10,3,11815
2011-02-11,3,10367
2011-02-12,3,3326
2011-02-13,3,2199
2011-02-14,3,11745
2011-02-15,3,12272
2011-02-16,3,12287
2011-02-17,3,11716
2011-02-18,3,10014
2011-02-19,3,3088
2011-02-20,3,1769
2011-02-21,3,7225
2011-02-22,3,12370
2011-02-23,3,11808
2011-02-24,3,12168
2011-02-25,3,10956
2011-02-26,3,3036
2011-02-27,3,2232
2011-02-28,3,11932
2011-03-01,3,12565
2011-03-02,3,11728
2011-03-03,3,11942
2011-03-04,3,10835
2011-03-05,3,3341
2011-03-06,3,2431
2011-03-07,3,11851
2011-03-08,3,12600
2011-03-09,3,11872
