RouteClass,year,month,date,gas_price,monthly_riders,prediction,residual
LRT,2015,2,2015-02-01,2.156,1552848,1396445.1606499418,156402.83935005823
LRT,2015,3,2015-03-01,2.3806,1735579.9999999995,1548212.557102186,187367.44289781363
LRT,2015,4,2015-04-01,2.30925,1819900.0000000002,1614064.6638034177,205835.33619658253
LRT,2015,5,2015-05-01,2.541,1760059.6666666665,1568802.420744115,191257.2459225515
LRT,2015,6,2015-06-01,2.6498,1829519,1746086.103542212,83432.89645778807
LRT,2015,7,2015-07-01,2.6855,1912403,1884928.038170746,27474.961829253938
LRT,2015,8,2015-08-01,2.5606,1814158,1905222.7137027704,-91064.71370277042
LRT,2015,9,2015-09-01,2.286,1979529,2097606.4914258774,-118077.49142587744
LRT,2015,10,2015-10-01,2.38875,2144900,2097940.3134919,46959.686508100014
LRT,2015,11,2015-11-01,2.1304,1847948,1965054.4604695565,-117106.4604695565
LRT,2015,12,2015-12-01,1.8845,1787451,1849201.470236339,-61750.47023633891
LRT,2016,1,2016-01-01,1.7545,1602985,1561987.459558051,40997.54044194892
LRT,2016,2,2016-02-01,1.6052,1753421,1660933.4600037234,92487.53999627661
LRT,2016,3,2016-03-01,1.95075,1876707,1754621.9533934405,122085.04660655954
LRT,2016,4,2016-04-01,1.9625,1814664,1780570.3242989222,34093.675701077795
LRT,2016,5,2016-05-01,2.1708000000000003,1821967,1746568.5217259047,75398.47827409534
LRT,2016,6,2016-06-01,2.25325,1788112,1936505.1941535813,-148393.19415358128
LRT,2016,7,2016-07-01,2.1165,1752080,2158155.783872093,-406075.7838720931
LRT,2016,8,2016-08-01,2.1438,1876961,2105365.638849205,-228404.63884920487
LRT,2016,9,2016-09-01,2.1715,2009886,2152588.173117976,-142702.17311797617
LRT,2016,10,2016-10-01,2.1396,2007988,2217579.4924751874,-209591.4924751874
LRT,2016,11,2016-11-01,1.99075,2006090,2032112.9045595266,-26022.904559526592
SuburbLoc,2014,1,2014-01-01,3.218,122572,144699.14459780583,-22127.144597805833
SuburbLoc,2014,2,2014-02-01,3.29025,121668,141488.39201951554,-19820.392019515537
SuburbLoc,2014,3,2014-03-01,3.5058,139263,160098.53831883622,-20835.538318836218
SuburbLoc,2014,4,2014-04-01,3.51675,143603,156656.85741288587,-13053.857412885875
SuburbLoc,2014,5,2014-05-01,3.49525,150949,162783.7313621602,-11834.731362160208
SuburbLoc,2014,6,2014-06-01,3.5444,173507,171982.92256741432,1524.0774325856764
SuburbLoc,2014,7,2014-07-01,3.4505,203239,178159.71100821265,25079.288991787354
SuburbLoc,2014,8,2014-08-01,3.33725,204768,187337.0871719075,17430.912828092492
SuburbLoc,2014,9,2014-09-01,3.2638000000000003,207751,185584.8637313104,22166.136268689588
SuburbLoc,2014,10,2014-10-01,3.0495,213061,189715.54690735522,23345.453092644777
SuburbLoc,2014,11,2014-11-01,2.85825,168928,163106.54412206143,5821.45587793857
SuburbLoc,2014,12,2014-12-01,2.407,177724,163061.90320226212,14662.096797737875
SuburbLoc,2015,1,2015-01-01,1.9565000000000001,173195,155782.3851218654,17412.6148781346
SuburbLoc,2015,2,2015-02-01,2.156,159443,151453.64415143355,7989.355848566454
SuburbLoc,2015,3,2015-03-01,2.3806,182848,169984.27929202036,12863.720707979635
SuburbLoc,2015,4,2015-04-01,2.30925,185038,167265.6667135612,17772.333286438807
SuburbLoc,2015,5,2015-05-01,2.541,184476,171167.5460827974,13308.453917202598
SuburbLoc,2015,6,2015-06-01,2.6498,190407,179842.66650147986,10564.333498520136
SuburbLoc,2015,7,2015-07-01,2.6855,183166,184880.82000615602,-1714.82000615602
SuburbLoc,2015,8,2015-08-01,2.5606,181021,194160.55031341434,-13139.550313414336
SuburbLoc,2015,9,2015-09-01,2.286,186422,194175.58317992353,-7753.583179923531
SuburbLoc,2015,10,2015-10-01,2.38875,188121,195520.74007126514,-7399.740071265143
SuburbLoc,2015,11,2015-11-01,2.1304,168588,169501.26200984325,-913.2620098432526
SuburbLoc,2015,12,2015-12-01,1.8845,168986,167652.46457667442,1333.5354233255784
SuburbLoc,2016,1,2016-01-01,1.7545,159344,157557.10932785828,1786.8906721417152
SuburbLoc,2016,2,2016-02-01,1.6052,163179,156292.8426299528,6886.157370047207
SuburbLoc,2016,3,2016-03-01,1.95075,180805,173760.83968779288,7044.160312207125
SuburbLoc,2016,4,2016-04-01,1.9625,172323,170312.13017112573,2010.8698288742744
SuburbLoc,2016,5,2016-05-01,2.1708000000000003,176205,174420.03569199823,1784.9643080017704
SuburbLoc,2016,6,2016-06-01,2.25325,176753,183326.6609761654,-6573.660976165411
SuburbLoc,2016,7,2016-07-01,2.1165,171778,189879.91937848253,-18101.919378482533
SuburbLoc,2016,8,2016-08-01,2.1438,180199,197822.45649686898,-17623.45649686898
SuburbLoc,2016,9,2016-09-01,2.1715,180769,195181.55308876603,-14412.553088766028
SuburbLoc,2016,10,2016-10-01,2.1396,181764,197709.71302137963,-15945.713021379634
SuburbLoc,2016,11,2016-11-01,1.99075,165820,170728.19386809526,-4908.193868095259
SuburbLoc,2016,12,2016-12-01,2.107,149702,165697.63222106342,-15995.632221063424
SuburbLoc,2017,1,2017-01-01,2.3032,155664,152736.36095247066,2927.6390475293447
SuburbLoc,2017,2,2017-02-01,2.25975,155487,150542.1211990981,4944.8788009019045
SuburbLoc,2017,3,2017-03-01,2.253,172033,171105.3427013505,927.6572986494866
SuburbLoc,2017,4,2017-04-01,2.30075,160611,167340.34570242724,-6729.345702427236
SuburbLoc,2017,5,2017-05-01,2.2923999999999998,170093,173351.6868630441,-3258.686863044102
SuburbLoc,2017,6,2017-06-01,2.2595,177757,183271.74995494037,-5514.749954940373
SuburbLoc,2017,7,2017-07-01,2.2282,183636,188898.54960714883,-5262.549607148831
SuburbLoc,2017,8,2017-08-01,2.299,209791,196458.9060178091,13332.093982190912
SupportLoc,2014,1,2014-01-01,3.218,124844,134009.05766532384,-9165.057665323839
SupportLoc,2014,2,2014-02-01,3.29025,134087,137276.4393373163,-3189.4393373162893
SupportLoc,2014,3,2014-03-01,3.5058,154890,152530.0120715704,2359.9879284295894
SupportLoc,2014,4,2014-04-01,3.51675,155545,147141.8461703231,8403.153829676914
SupportLoc,2014,5,2014-05-01,3.49525,157455,150621.7414767867,6833.258523213299
SupportLoc,2014,6,2014-06-01,3.5444,129773,132634.78976143093,-2861.789761430933
SupportLoc,2014,7,2014-07-01,3.4505,122015,123741.26212946868,-1726.2621294686833
SupportLoc,2014,8,2014-08-01,3.33725,129284,132815.38810923047,-3531.3881092304655
SupportLoc,2014,9,2014-09-01,3.2638000000000003,152581,152937.25332820008,-356.25332820008043
SupportLoc,2014,10,2014-10-01,3.0495,159909,155476.38522612632,4432.614773873676
SupportLoc,2014,11,2014-11-01,2.85825,136772,138845.65524071813,-2073.65524071813
SupportLoc,2014,12,2014-12-01,2.407,137437,133438.21539818266,3998.784601817344
SupportLoc,2015,1,2015-01-01,1.9565000000000001,136129,130443.65806116314,5685.341938836864
SupportLoc,2015,2,2015-02-01,2.156,130374,134070.68864288958,-3696.6886428895814
SupportLoc,2015,3,2015-03-01,2.3806,146283,149349.83955107763,-3066.8395510776318
SupportLoc,2015,4,2015-04-01,2.30925,144684,143729.06771449742,954.9322855025821
SupportLoc,2015,5,2015-05-01,2.541,140609,147924.72794347687,-7315.727943476872
SupportLoc,2015,6,2015-06-01,2.6498,129794,130106.36607068009,-312.36607068008743
SupportLoc,2015,7,2015-07-01,2.6855,128299,121579.129194722,6719.870805277998
SupportLoc,2015,8,2015-08-01,2.5606,135127,130620.32857488925,4506.671425110748
