"","MMSI","LON","LAT"
"664",368084090,-90.1522,29.95371
"665",366941830,-94.84396,29.37277
"666",338379253,-117.89592,33.61999
"667",368084090,-90.1743,29.94028
"668",366863870,-72.3615,41.09999
"669",368140160,-87.1443,30.33476
"670",366941830,-94.83501,29.37045
"671",366863870,-72.35667,41.09335
"672",368084090,-90.17263,29.94157
"673",366863870,-72.3615,41.1
"674",368140160,-87.1443,30.33476
"675",368118150,-122.32995,47.39787
"676",316005971,-84.40322,46.50185
"677",366863870,-72.357,41.09526
"678",368084090,-90.16625,29.94694
"679",367614790,-157.8782,21.31669
"680",366863870,-72.35947,41.099
"681",368140160,-87.1443,30.33476
"682",368084090,-90.17596,29.93901
"683",366941830,-94.85133,29.3743
"684",368084090,-90.17772,29.93756
"685",316005971,-84.40327,46.50185
"686",368195460,-122.37043,37.75485
"687",366863870,-72.36085,41.0998
"688",316005971,-84.40323,46.50185
"689",368084090,-90.17945,29.93633
"690",368195460,-122.36963,37.75397
"691",316005971,-84.40321,46.50182
"692",368195460,-122.376,37.76785
"693",366863870,-72.359,41.09523
"694",368118150,-122.32996,47.39787
"695",366941830,-94.84642,29.37332
"696",366941830,-94.85934,29.37619
"697",368118150,-122.32988,47.39787
"698",366863870,-72.36096,41.09986
"699",366941830,-94.8488,29.37382
"700",368195460,-122.37513,37.7623
"701",316005971,-84.40322,46.50185
"702",316005971,-84.40322,46.50182
"703",366863870,-72.35856,41.09065
"704",368195460,-122.37633,37.76888
"705",367614790,-157.8782,21.31669
"706",366941830,-94.83273,29.36979
"707",366941830,-94.864,29.37721
"708",366863870,-72.36153,41.1
"709",366863870,-72.36146,41.10002
"710",316004054,-84.37757,46.51167
"711",366863870,-72.35819,41.08755
"712",368195460,-122.3767,37.77037
"713",368195460,-122.37645,37.76952
"714",368195460,-122.37568,37.7656
"715",316005971,-84.40322,46.50184
"716",368140160,-87.1443,30.33476
"717",368118150,-122.32987,47.39787
"718",366941830,-94.83706,29.37105
"719",338379253,-117.89593,33.61998
"720",367614790,-157.87819,21.31669
"721",316005971,-84.40322,46.50184
"722",368084090,-90.171,29.94291
"723",368195460,-122.37838,37.77235
"724",368195460,-122.3751,37.76072
"725",366863870,-72.36149,41.09997
"726",366863870,-72.35819,41.08754
"727",366941830,-94.85683,29.37574
"728",368084090,-90.19198,29.92918
"729",316005971,-84.40323,46.50182
"730",316005971,-84.40321,46.50183
"731",368084090,-90.18943,29.93064
"732",366941830,-94.86908,29.37593
"733",366941830,-94.87029,29.37629
"734",366863870,-72.35819,41.08754
"735",368084090,-90.19589,29.92698
"736",366863870,-72.35887,41.09285
"737",366941830,-94.87013,29.37634
"738",367614790,-157.87818,21.31668
"739",316005971,-84.40324,46.50183
"740",316005971,-84.40326,46.50182
"741",368140160,-87.1443,30.33476
"742",367614790,-157.87821,21.31669
"743",366941830,-94.86147,29.37666
"744",366863870,-72.35912,41.09722
"745",366863870,-72.35674,41.09068
"746",316005971,-84.40322,46.50185
"747",366863870,-72.35789,41.08874
"748",368084090,-90.18497,29.93342
"749",366941830,-94.87025,29.37638
"750",368084090,-90.18676,29.93225
"751",366941830,-94.86642,29.3774
"752",368195460,-122.38272,37.77595
"753",366941830,-94.85437,29.37524
"754",316005971,-84.40322,46.50183
