OBJECTID_1,FID_District_Council_Merge,objectid,districtnu,planning_1,FID_TransitRoutes,route,route_oper,RouteClass,routedscrp,routesort,RoutePayLe,EffectiveD,PayLeaveDi,wk_ftrip,wk_ltrip,wk_span,wk_trip_fr,sat_ftrip,sat_ltrip,sat_span,sat_trip_f,sun_ftrip,sun_ltrip,sun_span,sun_trip_f,fri_ftrip,fri_ltrip,fri_span,fri_trip_f,hol_ftrip,hol_ltrip,hol_span,hol_trip_f,Shape_Leng,Shape_Length
79,20,3,,Near North,28,30,P,SupportLoc,Broadway Crosstown - Westgate Sta,30,0,2021-08-21,0,5:15:00 AM,10:47:00 PM,17:32,64,6:55:00 AM,9:23:00 PM,14:28,50,6:55:00 AM,9:23:00 PM,14:28,50, , , ,0, , , ,0,27682.85568,0.01554548053
80,22,5,,University,28,30,P,SupportLoc,Broadway Crosstown - Westgate Sta,30,0,2021-08-21,0,5:15:00 AM,10:47:00 PM,17:32,64,6:55:00 AM,9:23:00 PM,14:28,50,6:55:00 AM,9:23:00 PM,14:28,50, , , ,0, , , ,0,27682.85568,0.02693178574
81,18,1,,Camden,29,32,M,SupportLoc,Robbinsdale - Lowry Av - Rosedale,32,0,2022-08-20,0,6:14:00 AM,9:50:00 PM,15:36,120,7:15:00 AM,9:51:00 PM,14:36,53,7:15:00 AM,8:19:00 PM,13:04,49, , , ,0, , , ,0,30567.89051,0.04850191753
82,19,2,,Northeast,29,32,M,SupportLoc,Robbinsdale - Lowry Av - Rosedale,32,0,2022-08-20,0,6:14:00 AM,9:50:00 PM,15:36,120,7:15:00 AM,9:51:00 PM,14:36,53,7:15:00 AM,8:19:00 PM,13:04,49, , , ,0, , , ,0,30567.89051,0.08027419532
83,20,3,,Near North,29,32,M,SupportLoc,Robbinsdale - Lowry Av - Rosedale,32,0,2022-08-20,0,6:14:00 AM,9:50:00 PM,15:36,120,7:15:00 AM,9:51:00 PM,14:36,53,7:15:00 AM,8:19:00 PM,13:04,49, , , ,0, , , ,0,30567.89051,0.03122416427
84,16,33,1,Battle Creek - Conway - Eastview - Highwood Hills,30,323,P,SuburbLoc,Sun Ray - McKnight Rd - Londin Ln - Woodbury,323,0,2022-08-20,0,5:06:00 AM,1:04:00 AM,19:58,77,5:52:00 AM,1:03:00 AM,19:11,73,5:52:00 AM,1:02:00 AM,19:10,68, , , ,0, , , ,0,16016.51318,0.03514966123
85,5,22,12,Saint Anthony Park,31,33,P,SupportLoc,Westgate Sta - Elm St - Kasota Av - SE Mpls Indust,33,0,2022-08-20,0,5:03:00 AM,5:59:00 PM,12:56,11,6:07:00 AM,5:29:00 PM,11:22,9, , , ,0, , , ,0, , , ,0,7808.932849,0.00732261377
86,22,5,,University,31,33,P,SupportLoc,Westgate Sta - Elm St - Kasota Av - SE Mpls Indust,33,0,2022-08-20,0,5:03:00 AM,5:59:00 PM,12:56,11,6:07:00 AM,5:29:00 PM,11:22,9, , , ,0, , , ,0, , , ,0,7808.932849,0.03051989894
87,16,33,1,Battle Creek - Conway - Eastview - Highwood Hills,32,353,M,CommExpress,Express - Woodbury - St Paul - Mpls,353,-1,2022-03-26,2,5:40:00 AM,6:02:00 PM,12:22,20, , , ,0, , , ,0, , , ,0, , , ,0,62209.89381,0.008801697752
88,17,34,13,Union Park,32,353,M,CommExpress,Express - Woodbury - St Paul - Mpls,353,-1,2022-03-26,2,5:40:00 AM,6:02:00 PM,12:22,20, , , ,0, , , ,0, , , ,0, , , ,0,62209.89381,0.001878732195
89,4,21,4,Dayton's Bluff,33,363,M,CommExpress,Express - Cottage Grove - St Paul - Mpls,363,-1,2022-03-26,2,5:36:00 AM,6:12:00 PM,12:36,16, , , ,0, , , ,0, , , ,0, , , ,0,80736.2497,0.01925077416
90,16,33,1,Battle Creek - Conway - Eastview - Highwood Hills,33,363,M,CommExpress,Express - Cottage Grove - St Paul - Mpls,363,-1,2022-03-26,2,5:36:00 AM,6:12:00 PM,12:36,16, , , ,0, , , ,0, , , ,0, , , ,0,80736.2497,0.1399775734
91,19,2,,Northeast,34,4,M,CoreLoc,Johnson St - Lyndale Av - Penn Av - Southtown,4,0,2022-08-20,0,4:17:00 AM,1:49:00 AM,21:32,260,4:18:00 AM,1:48:00 AM,21:30,119,4:18:00 AM,1:48:00 AM,21:30,74, , , ,0, , , ,0,66488.60636,0.05434460266
92,21,4,,Central,34,4,M,CoreLoc,Johnson St - Lyndale Av - Penn Av - Southtown,4,0,2022-08-20,0,4:17:00 AM,1:49:00 AM,21:32,260,4:18:00 AM,1:48:00 AM,21:30,119,4:18:00 AM,1:48:00 AM,21:30,74, , , ,0, , , ,0,66488.60636,0.002483395397
93,22,5,,University,34,4,M,CoreLoc,Johnson St - Lyndale Av - Penn Av - Southtown,4,0,2022-08-20,0,4:17:00 AM,1:49:00 AM,21:32,260,4:18:00 AM,1:48:00 AM,21:30,119,4:18:00 AM,1:48:00 AM,21:30,74, , , ,0, , , ,0,66488.60636,0.02083315427
