ID,TYPE,CORRIDOR,YR_START1,YR_END1,YR_START2,PRIV_ROW,Shape_Leng
33,Streetcar,Como_Harriet_Oak_Xer,1914,19501954,0,TRUE,152.759463513
34,Streetcar,Como_Harriet_Oak_Xer,1891,19501954,0,FALSE,1037.15932039
35,Streetcar,Como_Harriet_Oak_Xer,1907,19501954,0,FALSE,996.577376678
36,Streetcar,Como_Harriet_Oak_Xer,1914,19501954,0,FALSE,326.094304571
45,Streetcar,Como_Harriet_Oak_Xer,1914,19501954,0,FALSE,801.48372326
46,Streetcar,Como_Harriet_Oak_Xer,1929,19501954,0,FALSE,801.50432468
47,Streetcar,Como_Harriet_Oak_Xer,1925,19501954,0,FALSE,1116.01287217
48,Streetcar,Como_Harriet_Oak_Xer,1913,19501954,0,FALSE,1209.50204516
53,Streetcar,Como_Harriet_Oak_Xer,1891,19501954,0,FALSE,4020.97538236
92,Streetcar,Como_Harriet_Oak_Xer,1891,19501954,0,FALSE,213.655930419
117,Streetcar,Como_Harriet_Oak_Xer,1891,19501954,0,TRUE,962.433732853
122,Streetcar,Como_Harriet_Oak_Xer,1904,19501954,0,FALSE,965.375507806
125,Streetcar,Como_Harriet_Oak_Xer,1891,19501954,0,FALSE,7095.9082876
153,Streetcar,Como_Harriet_Oak_Xer,1880,19501954,0,TRUE,2335.17233618
163,Streetcar,Como_Harriet_Oak_Xer,1898,19501954,0,FALSE,4830.2261777
282,Streetcar,Como_Harriet_Oak_Xer,1898,19501954,0,FALSE,1305.19313572
339,Streetcar,Como_Harriet_Oak_Xer,1890,19501954,0,FALSE,3717.7598544
375,Streetcar,Como_Harriet_Oak_Xer,1905,19501954,0,FALSE,302.464165419
391,Streetcar,Como_Harriet_Oak_Xer,1905,1932,0,TRUE,9215.69332809
392,Streetcar,Como_Harriet_Oak_Xer,1908,1932,0,TRUE,2114.35239915
393,Streetcar,Como_Harriet_Oak_Xer,1905,19501954,0,TRUE,11942.6738358
0,Streetcar,Como_Harriet_Oak_Xer,1914,19501954,0,TRUE,2338.24900773
0,Streetcar,Como_Harriet_Oak_Xer,1914,19501954,0,TRUE,326.124024346
0,Streetcar,Como_Harriet_Oak_Xer,1898,1904,0,TRUE,982.019679895
93,Streetcar,Dale St,1923,19501954,0,FALSE,717.431018182
219,Streetcar,Dale St,1914,19501954,0,FALSE,4162.03891206
285,Streetcar,Dale St,1890,19501954,0,FALSE,3666.3829526
96,Streetcar,Fort Snelling,1891,19501954,0,FALSE,4729.09100341
244,Streetcar,Fort Snelling,1890,19501954,0,FALSE,4896.7373709
353,Streetcar,Fort Snelling,1909,19501954,0,FALSE,2420.94964055
37,Streetcar,Franklin,1924,1940,0,FALSE,585.845814234
106,Streetcar,Franklin,1916,1940,0,FALSE,625.435544215
158,Streetcar,Franklin,1914,1940,0,FALSE,1124.80411298
181,Streetcar,Franklin,1889,19501954,0,FALSE,892.482851175
198,Streetcar,Franklin,1914,19501954,0,FALSE,1807.92385027
311,Streetcar,Franklin,1914,1914,0,FALSE,883.980941557
378,Streetcar,Glenwood Ave,1891,19501954,0,FALSE,2447.85254842
379,Streetcar,Glenwood Ave,0,19501954,0,FALSE,1707.04395968
277,Streetcar,Grand Ave,1890,19501954,0,FALSE,7430.19514873
281,Streetcar,Grand Ave,0,19501954,0,FALSE,1576.01210812
42,Streetcar,Grand Ave S,1907,19501954,0,FALSE,1988.07094091
43,Streetcar,Grand Ave S,1923,19501954,0,FALSE,1610.03337956
263,Streetcar,Grand Ave S,1905,19501954,0,FALSE,506.780506494
328,Streetcar,Grand Ave S,1890,19501954,0,FALSE,4469.17226687
90,Streetcar,Hamline,1906,19501954,0,FALSE,1756.92834642
91,Streetcar,Hamline,1891,19501954,0,FALSE,811.271312855
131,Streetcar,Hamline,0,19501954,0,FALSE,1679.9535648
213,Streetcar,Hamline,1906,19501954,0,FALSE,4324.31225131
215,Streetcar,Hamline,1891,1906,0,FALSE,1604.51635324
235,Streetcar,Hamline,1891,19501954,0,FALSE,441.118711906
248,Streetcar,Hazel Park,1889,19501954,0,FALSE,4816.31620292
151,Streetcar,Hope,1909,1939,0,FALSE,932.186139963
152,Streetcar,Hope,1915,1939,0,FALSE,797.979041311
246,Streetcar,Hope,1889,19501954,0,FALSE,3232.9004553
376,Streetcar,Jackson St,1892,1938,0,FALSE,4148.48079473
26,Streetcar,Johnson St NE,1911,1912,0,FALSE,804.077048913
27,Streetcar,Johnson St NE,1923,19501954,0,FALSE,801.00744055
28,Streetcar,Johnson St NE,1912,19501954,0,FALSE,201.502968166
29,Streetcar,Johnson St NE,1911,19501954,0,FALSE,1405.52729084
114,Streetcar,Johnson St NE,1899,1912,0,FALSE,501.396328052
115,Streetcar,Johnson St NE,1899,19501954,0,FALSE,925.741443768
